Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
1072,Non-World-Space Must Not Become a Second World Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#98, #1073, #20",HIGH,RESTATEMENT. Parent #20 via #98.
1073,Spatial Ground Must Avoid Positive Semantics for Non-World-Space,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#98, #1072, #99",HIGH,RESTATEMENT. Parent #20 via #98.
1074,Spatial Ground Must Preserve Survey Validity Outside The World,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#14, #13, #1071",HIGH,RESTATEMENT. Parent #13 via #14. AUTHORITY: validity is FSF's.
1075,Spatial Ground Must Avoid Treating Non-World-Space as Error,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#305, #252, #1076",HIGH,RESTATEMENT. Parent #252 via #305: non-World is a valid result and not a failure.
1076,Spatial Ground Must Distinguish Valid Non-Membership From Invalid Input,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#305, #159, #1075",HIGH,RESTATEMENT. Parents #159 and #14 via #305.
1077,Spatial Ground Must Preserve Query Completeness Across Both Classes,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #158, #1078",HIGH,RESTATEMENT. Parent #15.
1078,Spatial Ground Must Not Privilege Inclusion Computationally,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#1071, #8, #1079",HIGH,"Parents #8 and #1071: inclusion and exclusion flow from one membership framework, not from two authorities."
1079,Spatial Ground Must Not Privilege Exclusion Computationally,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#383, #255, #1080",HIGH,RESTATEMENT. Parent #251 via #255 and #383.
1080,Spatial Ground Must Prefer Explicit Membership Logic Over Missing-Record Logic,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#383, #1079, #767",HIGH,"RESTATEMENT. Parent #251 via #383 (""where practical"")."
1081,Spatial Ground Must Define Membership Domain Clearly,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#159, #1082, #581",HIGH,"New formal element: the domain of the membership relation, the Survey references that are meaningful inputs. AUTHORITY: which references are valid is FSF's."
1082,Spatial Ground Must Define Membership Codomain Clearly,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#1081, #152, #252",HIGH,"New formal element: the codomain of the membership relation, a finite, governed set of outcomes."
1083,Spatial Ground Must Distinguish Canonical Outcome From Operational Response,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#1082, #252, #810",MEDIUM,"New failure-state distinction: timeouts and service errors are operational responses and lie outside the membership codomain. CONSOLIDATION SURVIVOR: reconciles binary membership (#152) with the multi-class outcomes of #252, #306 and #810. Sits between Conformance and Specification, since it also bounds the codomain of #1082."
1084,Spatial Ground Must Preserve Canonical Outcome Semantics Across APIs,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#811, #810, #1083",HIGH,INSTANCE. Parent #29 via #811: encodings of the result across interfaces.
1085,Spatial Ground Must Avoid Boolean Oversimplification Where It Hides Invalidity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#384, #1083, #252",HIGH,RESTATEMENT. Parent #252 via #384.
1086,Spatial Ground Must Preserve Exact Membership Under Canonical Transformation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#116, #218, #1087",HIGH,RESTATEMENT. Parent #116.
1087,Spatial Ground Must Preserve Membership Under Serialization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#197, #956, #1088",HIGH,RESTATEMENT. Parent #29 via #197.
1088,Spatial Ground Must Preserve Membership Under Migration,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#211, #210, #957",HIGH,RESTATEMENT. Parent #29 via #211.
1089,Spatial Ground Must Preserve Membership Under Replication,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#125, #449, #806",HIGH,RESTATEMENT. Parent #8 via #125.
1090,Spatial Ground Must Preserve Membership Under Independent Reimplementation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#976, #26, #496",HIGH,RESTATEMENT. Parent #26 via #976.
1091,Spatial Ground Must Preserve Membership Under Future Optimization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#240, #433, #80",HIGH,RESTATEMENT. Parent #80 via #240.
1092,Spatial Ground Must Preserve Membership Under Parallelism,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#818, #366, #26",HIGH,RESTATEMENT. Parent #26 via #818.
1093,Spatial Ground Must Preserve Membership Under Caching,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#533, #532, #798",HIGH,RESTATEMENT. Parent #19 via #532 and #533.
1094,Spatial Ground Must Preserve Membership Under Indexing,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#78, #534, #19",HIGH,RESTATEMENT. Parent #19 via #78.
1095,Spatial Ground Must Preserve Membership Under Partitioning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#817, #836, #122",HIGH,RESTATEMENT. Parent #817.
1096,Spatial Ground Must Preserve Membership Under Distribution,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#122, #237, #124",HIGH,RESTATEMENT. Parents #19 and #8 via #122 and #237.
1097,Spatial Ground Must Preserve Membership Under Offline Evaluation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,"#203, #595, #987",HIGH,RESTATEMENT. Parents #83 and #26 via #203 and #595.
1098,Spatial Ground Must Preserve Membership Under Long-Term Archival Recovery,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,"#362, #711, #84",HIGH,RESTATEMENT. Parents #26 and #10 via #362 and #711.
1099,Spatial Ground Must Preserve Membership Under Institutional Succession,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#979, #147, #1028",HIGH,RESTATEMENT. Parent #147 via #979.
1100,Spatial Ground Must Make World Membership the Permanent Core,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Core World-Space Membership,"#412, #1050, #15",HIGH,"RESTATEMENT. Parents #1 and #15. Seventh one-sentence statement; ""whatever mathematical form"" keeps the model unchosen, consistent with #298."
1101,Spatial Ground Must Distinguish Canonical Membership From Canonical Addressability,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#24, #14, #1102",MEDIUM,"Root parents #12 and #13 via #14 and #24. New term and authority distinction: addressability is Survey's, participation is Ground's. AUTHORITY: FSF."
1102,Addressability Must Not Imply Inclusion,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#14, #573, #1101",HIGH,RESTATEMENT. Parent #13 via #14 and #573: being expressible in Survey coordinates is no evidence of membership.
1103,Inclusion Must Not Alter Addressability,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #47, #1101",HIGH,Root parent #12: recognition as World-space leaves the Survey address untouched. AUTHORITY: FSF.
1104,Spatial Ground Must Preserve Stable Address-to-Place Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#73, #574, #491",HIGH,"RESTATEMENT. Parent #4 via #73, with #574."
1105,Spatial Ground Must Not Create Alias Ambiguity,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Canonical Equivalence,"#65, #216, #1110",MEDIUM,"New scope: equivalence of references to a place, as distinct from equivalence of Ground expressions (#65). AUTHORITY: equivalence of Survey references is FSF's; Ground's share is one membership answer across aliases."
1106,Alias Support Must Preserve One Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#1105, #65, #1108",HIGH,RESTATEMENT. Parent #1105.
1107,Spatial Ground Must Prevent Accidental Alias Creation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#62, #1105, #1110",HIGH,"Root parent #15 via #62. New failure mode: truncation, rounding or formatting collapsing distinct places into one reference."
1108,Spatial Ground Must Prevent Accidental Place Splitting,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#216, #1105, #1107",HIGH,"INSTANCE. Parent #216, which already forbids treating equivalent truth as different places; here for references."
1109,Spatial Ground Must Preserve Canonical Identity Under Reference Normalization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#116, #1105, #218",HIGH,INSTANCE. Parent #116: normalization of references.
1110,Spatial Ground Must Reject Ambiguous Reference Normalization,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Canonical Equivalence,"#116, #1107, #612",HIGH,New formal condition: a canonical normalization maps each input to exactly one place and never merges distinct places.
1111,Spatial Ground Must Distinguish Point Reference From Area Membership,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#15, #1113, #839",HIGH,"New scope condition: membership of a point-like reference and of a spatial extent are different questions, each needing defined semantics."
1112,Spatial Ground Must Distinguish Location Membership From Extent Intersection,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1111, #15, #1113",HIGH,Parent #1111: an extent that intersects World-space is not thereby World-space.
1113,Spatial Ground Must Distinguish Full Inclusion From Partial Intersection,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#1111, #1169, #252",MEDIUM,"New outcome distinction for area queries: fully World, partially intersecting, fully non-World, invalid. ""As appropriate"" leaves adoption to Specification."
1114,Area Queries Must Derive From Canonical Membership,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#8, #57, #1170",HIGH,Root parents #8 and #57: any area classification derives from the one definition.
1115,Spatial Ground Must Preserve Exact Intersection Semantics,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#839, #16, #1176",HIGH,"Exact, implementation-independent intersection semantics; extends #839 and #16 from points to extents."
1116,Spatial Ground Must Not Let Bounding Boxes Become Canon,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#49, #19, #1120",HIGH,INSTANCE. Parent #19 via #49: bounding boxes.
1117,Spatial Ground Must Not Let Convex Hulls Become Canon,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#49, #19, #1116",HIGH,INSTANCE. Parent #19 via #49: convex hulls.
1118,Spatial Ground Must Not Let Centroids Become Canonical Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #107, #1119",HIGH,INSTANCE. Parent #19: centroids.
1119,Spatial Ground Must Not Let Representative Points Replace Exact Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #1118, #50",HIGH,INSTANCE. Parent #19: representative points and markers.
1120,Spatial Ground Must Distinguish Summary Geometry From Defining Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#781, #703, #1116",HIGH,"RESTATEMENT. Parent #19 via #703 and #781: summary geometry describes, defining geometry determines."
1121,Spatial Ground Must Preserve Exactness Under Spatial Index Approximation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#797, #796, #78",HIGH,RESTATEMENT. Parents #19 and #541 via #796 and #797.
1122,Spatial Ground Must Support Two-Stage Resolution,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#796, #1121, #797",HIGH,"RESTATEMENT. Parent #796: approximate filter, then exact evaluation."
1123,Spatial Ground Must Prevent Approximate Pre-Filters From Returning Canonical Falsehoods,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Operational Non-Authority,"#1122, #62, #254",HIGH,New failure mode: an approximate pre-filter wrongly excluding World-space or admitting non-World-space. Operational in nature.
1124,Spatial Ground Must Preserve Canonical Resolution at Every Boundary Crossing,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #16, #1125",HIGH,Root parent #15: any path across Survey space meets World / non-World transitions exactly where the membership rule puts them.
1125,Traversal Sampling Must Not Define the Boundary,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#1126, #49, #1174",HIGH,INSTANCE. Parent #1126: a coarse sampling path can miss the limit and so cannot define it.
1126,Spatial Ground Must Distinguish Continuous Truth From Discrete Sampling,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #49, #1198",MEDIUM,"Root parent #19 via #49: sampled representation never replaces canonical semantics. AUTHORITY: whether canonical space is continuous is FSF's to say, and no model is chosen here."
1127,Spatial Ground Must Preserve Exactness Between Samples,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #1199, #18",HIGH,"RESTATEMENT. Parent #15, with #18: defined at locations no one has sampled."
1128,Spatial Ground Must Not Depend on Discovery Density,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#590, #32, #1127",HIGH,INSTANCE. Parents #4 and #27 via #32 and #590: query frequency.
1129,Spatial Ground Must Not Depend on Observation Resolution,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#244, #866, #1168",HIGH,RESTATEMENT. Parent #244. AUTHORITY: FSF refinement model.
1130,Refinement Must Not Create New Foundational Geography,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#101, #20, #1131",HIGH,RESTATEMENT. Parent #20 via #101.
1131,Spatial Ground Must Distinguish Refinement From Subdivision,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#231, #58, #1132",HIGH,Root parents #58 and #20 via #231. New distinction: refinement raises precision and creates no entities or subdivisions.
1132,Spatial Ground Must Distinguish Refinement From Parcelization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#1131, #6, #1133",HIGH,INSTANCE. Parents #6 and #1131: refinement is not parcelization.
1133,Spatial Ground Must Not Treat Survey Cells as Parcels,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#6, #36, #1135",MEDIUM,Root parent #6. New cross-layer implication: a Survey cell is never a Parcel. AUTHORITY: Survey cells are FSF's; Parcel identity is the cadastre's and the Codex's. Ground sits between and owns neither.
1134,Spatial Ground Must Not Treat Membership Cells as Land Units,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#79, #1133, #236",HIGH,INSTANCE. Parents #19 and #20 via #79: cells used to evaluate membership.
1135,Spatial Ground Must Not Create Hidden Proto-Parcels,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#79, #6, #1136",HIGH,Root parents #6 and #19 via #79. New failure mode: storage or computation partitions hardening into de facto cadastral units.
1136,Spatial Ground Must Preserve Cadastral Freedom,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#740, #483, #1135",HIGH,RESTATEMENT. Parent #6 via #483 and #740.
1137,Spatial Ground Must Preserve Interpretive Freedom,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Upward Handoff,"#739, #143, #1136",HIGH,RESTATEMENT. Parent #20 via #739.
1138,Spatial Ground Must Distinguish Canonical Ground Geometry From Computational Partitioning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#79, #235, #1139",HIGH,RESTATEMENT. Parent #19 via #79.
1139,Spatial Ground Must Preserve Geometric Meaning Across Repartitioning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#816, #1095, #1140",HIGH,RESTATEMENT. Parent #19 via #122 and #816.
1140,Spatial Ground Must Permit Arbitrary Operational Repartitioning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#239, #1139, #81",HIGH,RESTATEMENT. Parent #81 via #239.
1141,Spatial Ground Must Preserve Exact Union Across Partitions,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#122, #817, #1142",HIGH,RESTATEMENT. Parent #19 via #122.
1142,Spatial Ground Must Prevent Partition Gaps,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#817, #836, #1141",HIGH,"INSTANCE. Parent #817, which already lists gaps."
1143,Spatial Ground Must Prevent Partition Overlaps From Creating Double Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#817, #1142, #1144",HIGH,"INSTANCE. Parent #817, which already lists overlaps."
1144,Spatial Ground Must Preserve Set Idempotence,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#839, #1143, #368",HIGH,New formal property (conditional): including the same portion twice changes nothing.
1145,Spatial Ground Must Preserve Set Commutativity Where Applicable,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#839, #843, #215",HIGH,Formal property (conditional): order of set operations is irrelevant unless the Specification says otherwise; close to #215 and #843.
1146,Spatial Ground Must Preserve Set Associativity Where Applicable,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#839, #1145, #1144",HIGH,Formal property (conditional): grouping of set operations is irrelevant where the adopted model is associative.
1147,Spatial Ground Must Define Complement Relative to the Correct Domain,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#1071, #13, #1148",HIGH,"Root parent #13 via #1071. New scope condition: the non-World complement is taken within the valid Survey Domain, never an undefined exterior. AUTHORITY: the Domain is FSF's."
1148,Spatial Ground Must Not Imply Infinite Outside Space,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#1147, #163, #98",HIGH,RESTATEMENT. Parent #1147.
1149,Spatial Ground Must Preserve Survey Domain Finitude,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#163, #13, #1150",HIGH,RESTATEMENT. Parent #13 via #163. AUTHORITY: FSF.
1150,Spatial Ground Must Not Create Meaning Beyond Survey Domain,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#164, #163, #1152",HIGH,"RESTATEMENT. Parent #13 via #164. A statement of Ground's scope, not of World-space truth. AUTHORITY GAP: ""unless a future foundational architecture explicitly establishes otherwise"" names no actor."
1151,Spatial Ground Must Distinguish Survey-Domain Limit From World-Space Limit,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#261, #13, #1152",HIGH,Root parent #13 via #261. New distinction: the Survey-Domain limit and the World-space limit are two different limits. Bears on reserved #260.
1152,Survey-Domain Boundary Must Remain Lower-Layer Authority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #275, #1151",HIGH,RESTATEMENT. Parent #12. AUTHORITY: FSF owns the outer limit of valid Survey reference.
1153,World-Space May Not Touch the Survey-Domain Limit by Assumption,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#1151, #260, #1154",MEDIUM,Parent #1151. New: whether World-space reaches the Domain limit follows from the adopted definition and is never presumed. Bears on reserved #260 without resolving it.
1154,Spatial Ground Must Not Reserve a Mandatory Margin,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #1153, #100",MEDIUM,Root parent #58. New: no required buffer between World-space and the Domain limit unless separately justified. Bears on reserved #260 without resolving it.
1155,Spatial Ground Must Not Assume Exterior Navigability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#98, #1073, #1156",HIGH,INSTANCE. Parent #20 via #98: no presumption that non-World space is navigable or visible.
1156,Spatial Ground Must Not Assume Exterior Inaccessibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#98, #1155, #309",HIGH,INSTANCE. Parent #20 via #98: no presumption that it is forbidden either.
1157,Spatial Ground Must Distinguish Membership From Experience Eligibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#308, #309, #1158",HIGH,INSTANCE. Parents #4 and #20 via #308 and #309: eligibility to be shown or visited.
1158,Spatial Ground Must Distinguish Membership From Construction Eligibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #311, #1157",HIGH,INSTANCE. Parent #20: eligibility for construction.
1159,Spatial Ground Must Distinguish Membership From Parcel Eligibility,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#35, #6, #55",MEDIUM,"Root parent #6 via #35. New cross-layer implication: whether World-space may be parcelized is a cadastral rule. Bears on #55 (Batch 1, under review), which had Ground defining eligibility for higher meaning."
1160,Spatial Ground Must Distinguish Membership From Region Eligibility,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#37, #289, #1159",HIGH,Root parent #20 via #37. Same point for Regions and Clusters. AUTHORITY: The Codex. Bears on #55.
1161,Spatial Ground Must Preserve Neutrality Toward Higher Spatial Partition,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#79, #20, #1164",HIGH,"RESTATEMENT. Parent #20 via #79: no preferred partition, hierarchy or zoning."
1162,Spatial Ground Must Preserve Neutrality Toward Scale of Interpretation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #241, #1163",HIGH,INSTANCE. Parent #20: scales of interpretation.
1163,Spatial Ground Must Not Establish Semantic Levels of Detail,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #791, #1162",HIGH,INSTANCE. Parent #20: levels of meaning or visibility.
1164,Spatial Ground Must Not Establish Administrative Levels,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,"#76, #20, #39",HIGH,"INSTANCE. Parent #20 via #76: provinces, districts, zones."
1165,Spatial Ground Must Not Establish Navigational Levels,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #310, #1166",HIGH,INSTANCE. Parent #20: navigation grids and route sectors.
1166,Spatial Ground Must Not Establish Simulation Levels,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,"#238, #41, #1165",HIGH,RESTATEMENT. Parents #19 and #4 via #238.
1167,Spatial Ground Must Preserve One Spatial Membership Semantics Across Scale,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#247, #1168, #244",HIGH,RESTATEMENT. Parent #244 via #247.
1168,"Scale Must Affect Resolution, Not Meaning",DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#247, #1167, #245",HIGH,"RESTATEMENT. Parent #244 via #247. Repeats the ""reveal more exact results"" wording of reserved #245."
1169,Spatial Ground Must Distinguish Mixed-Area Queries From Fundamental Membership,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#152, #1113, #1170",HIGH,Root parent #15 via #152. CONSOLIDATION SURVIVOR: a mixed area is a derived fact about an extent and never a third membership state for an exact location; keeps #152 intact beside #1113.
1170,Mixed Coverage Is a Derived Property,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#104, #57, #1171",HIGH,INSTANCE. Parent #58 via #57 and #104: coverage fraction.
1171,Spatial Ground Must Not Canonize Coverage Percentages,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#1170, #104, #59",HIGH,RESTATEMENT. Parent #1170.
1172,Spatial Ground Must Preserve Exact Set Membership Beneath Aggregation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#57, #1114, #1170",HIGH,RESTATEMENT. Parent #57 via #1114.
1173,Spatial Ground Must Not Infer Canon From Statistical Majority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#62, #1169, #662",HIGH,"INSTANCE. Parent #15 via #62: ""mostly World"" is not World."
1174,Spatial Ground Must Not Infer Canon From Representative Sampling,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#62, #1125, #950",HIGH,INSTANCE. Parent #15 via #62: sampled estimates.
1175,Spatial Ground Must Preserve Deterministic Membership at Arbitrarily Small Supported Extents,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#256, #15, #1111",HIGH,INSTANCE. Parent #15 via #256: very small extents. AUTHORITY: supported precision is FSF's.
