finding_id,target_id,relation,half,note
#1125,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1126,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1126,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1127,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1127,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1128,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#1129,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1129,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1130,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1130,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1131,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1131,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1132,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1132,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1133,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1133,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1134,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1134,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1135,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1135,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1136,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1136,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1137,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1137,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1137,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1138,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1138,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1139,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1139,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1140,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#1140,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#1141,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1141,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1142,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1142,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1143,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1143,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1144,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1144,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1145,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1145,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1146,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1146,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1147,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1148,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1149,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1150,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1151,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1152,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1152,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1152,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1152,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1153,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#1154,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1155,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1156,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1157,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1157,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1158,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1158,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1159,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1159,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1160,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1160,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1161,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1162,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1163,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1164,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#1165,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1165,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1166,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#1166,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#1167,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1167,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1168,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1168,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1169,CORE-03,WORDING-FOR,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1169,LIM-01,WORDING-FOR,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1170,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1171,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1172,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1173,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1173,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1174,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1174,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1175,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1175,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1176,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1176,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1177,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1177,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1178,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1178,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1179,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1179,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1180,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1180,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1181,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1181,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1182,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#1182,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#1183,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1183,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#1184,Conformance Register,MERGED-INTO,,Pass #4 cluster target: Testing and Adversarial Review.
#1185,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1185,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1186,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1186,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1187,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1187,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1188,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1188,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1189,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1189,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1190,DEF-06,WORDING-FOR,,Pass #4 cluster target: Precision and Refinement.
#1190,DOWN-03,WORDING-FOR,,Pass #4 cluster target: Precision and Refinement.
#1191,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1191,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1192,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1192,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1193,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1193,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1194,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1194,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1195,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1195,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#1196,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1196,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1196,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#1197,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1197,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1198,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1198,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1199,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#1200,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#1201,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1202,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#1202,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#1203,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#1203,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#1204,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1204,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1205,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#1206,CONST-04,MERGED-INTO,,Pass #4 cluster target: Connectedness and Topology.
#1207,CONST-04,MERGED-INTO,,Pass #4 cluster target: Connectedness and Topology.
#1208,CONST-04,MERGED-INTO,,Pass #4 cluster target: Connectedness and Topology.
#1209,CONST-04,MERGED-INTO,,Pass #4 cluster target: Connectedness and Topology.
#1210,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1210,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1211,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1211,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1212,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1212,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1213,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1213,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1214,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1214,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1215,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1215,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1216,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1216,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1217,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1217,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1218,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1218,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1219,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1219,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1220,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1220,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1221,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1221,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1222,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1222,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1223,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1223,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1224,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1224,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1225,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1225,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1226,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1226,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1227,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1227,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1228,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1228,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1229,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1229,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1230,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1230,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1231,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1231,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1232,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1232,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1233,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1233,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1234,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1234,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1235,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1235,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1236,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1236,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1237,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1237,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1238,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1238,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1239,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1239,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1240,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1240,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1241,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1241,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1242,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1242,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1243,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1243,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1244,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1244,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1245,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1245,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1246,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1246,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1247,BOUND-01,WORDING-FOR,,Pass #4 cluster target: Layer Boundaries.
#1247,Shared Architecture,WORDING-FOR,,Pass #4 cluster target: Layer Boundaries.
#1248,CORE-01,MERGED-INTO,,Pass #4 cluster target: Core World-Space Membership.
#1249,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1249,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1250,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1250,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1251,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1251,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1252,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1252,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1253,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1253,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1254,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1254,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1255,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1255,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1256,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1256,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1257,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1257,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1258,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1258,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1259,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1259,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1260,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1260,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1261,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1261,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1262,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1262,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1263,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1263,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1264,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1264,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1265,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1265,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1266,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1266,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1267,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1267,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1268,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1268,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1269,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1269,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1270,CONST-02,MERGED-INTO,,Pass #4 cluster target: One World / Singular World-Space.
#1271,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1271,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1272,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1272,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1273,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1273,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1274,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1274,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1275,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1275,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1276,DOWN-01,MERGED-INTO,,Item-level override.
#1276,Shared Architecture: Failed Dependency Rule,MERGED-INTO,,Item-level override.
#1277,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1277,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#1278,DOWN-01,WORDING-FOR,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1278,DOWN-02,WORDING-FOR,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1278,DOWN-03,WORDING-FOR,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1278,DOWN-04,WORDING-FOR,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#1279,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1279,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1280,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1280,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#1281,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#1282,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#1282,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#1283,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#1284,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1284,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#1285,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#1285,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#1286,Governance Register,MERGED-INTO,,Pass #4 cluster target: Historical Traceability.
#1286,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Historical Traceability.
#1287,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1287,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1288,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#1288,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
