finding_id,finding_title,original_classification,original_disposition,original_cluster,original_confidence,final_disposition,primary_target,consolidation_parent,pass_resolution,is_survivor,is_mirror,notes
#1227,Spatial Ground Must Evaluate Representation Failure Modes,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1228,Spatial Ground Must Evaluate Representation Layer Purity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1229,Spatial Ground Must Evaluate Representation Independence From Higher Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1230,Spatial Ground Must Evaluate Representation Independence From Parcel Geometry,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1231,Spatial Ground Must Evaluate Representation Independence From Ownership,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1232,Spatial Ground Must Evaluate Representation Independence From Runtime,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1233,Spatial Ground Must Evaluate Representation Independence From Experience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1234,Spatial Ground Must Evaluate Representation Against the One-World Requirement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1235,Spatial Ground Must Evaluate Representation Against Continuity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1236,Spatial Ground Must Evaluate Representation Against Survey Non-Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1237,Spatial Ground Must Evaluate Representation Against Non-World Validity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1238,Spatial Ground Must Evaluate Representation Against Exact Placement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1239,Spatial Ground Must Evaluate Representation Against Transformation Errors,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1240,Spatial Ground Must Evaluate Representation Against Hidden State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1241,Spatial Ground Must Evaluate Representation Against Long-Term Archival Recovery,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1242,Spatial Ground Must Evaluate Representation Against Independent Implementation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,MEDIUM,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1243,Spatial Ground Must Evaluate Representation Against Adversarial Inputs,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1244,Spatial Ground Must Evaluate Representation Against Semantic Drift,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1245,Spatial Ground Must Evaluate Representation Against Foundational Overreach,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1246,Spatial Ground Must Evaluate Representation Against Foundational Underreach,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1247,Spatial Ground Must Occupy the Exact Architectural Middle,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Layer Boundaries,HIGH,Merged,BOUND-01,#30,P4-D15,TRUE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1248,Spatial Ground Must Define Enough and No More,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Core World-Space Membership,HIGH,Merged,CORE-01,#1,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1249,Spatial Ground Model Selection Must Follow Consolidated Requirements,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#298,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1250,Spatial Ground Must Delay Mathematical Commitment Until the Architecture Earns It,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#298,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1251,Spatial Ground Must Preserve Model Independence Until Candidate Comparison Begins,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1252,Candidate Models Must Be Compared on Requirements Satisfaction,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1253,Candidate Comparison Must Use Common Evaluation Criteria,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1254,Candidate Comparison Must Expose Tradeoffs,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Inquiry Method and Framework Sequencing,HIGH,Governance,Governance Method Annex,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#1255,Candidate Comparison Must Distinguish Foundational From Operational Tradeoffs,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Inquiry Method and Framework Sequencing,HIGH,Governance,Governance Method Annex,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#1256,Candidate Models Must Be Rejected for Canonical Ambiguity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1257,Candidate Models Must Be Rejected for Hidden Approximation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1258,Candidate Models Must Be Rejected for Layer Leakage,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1259,Candidate Models Must Be Rejected for Irrecoverability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1260,Candidate Models Must Be Rejected for Unbounded Complexity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#689,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1261,Candidate Models Must Be Rejected for Excess Primitive State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1262,Candidate Models Must Be Rejected for Representation Fragility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1263,Candidate Models Must Be Rejected for Poor Independent Implementability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1264,Candidate Models Must Be Rejected for Boundary Instability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1265,Candidate Models Must Be Rejected for Refinement Instability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1266,Candidate Models Must Be Rejected for Transformation Confusion,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1267,Candidate Models Must Be Rejected for Historical Replay Dependency,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1268,Candidate Models Must Be Rejected for Operational Liveness Dependency,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1269,Candidate Models Must Be Rejected for Centralized Semantic Dependency,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1270,Candidate Models Must Be Rejected for Semantic Forkability,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,One World / Singular World-Space,MEDIUM,Merged,CONST-02,#21,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1271,Candidate Models Must Be Rejected for Undefined Failure Behavior,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1272,Candidate Models Must Be Rejected for Poor Auditability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1273,Candidate Models Must Be Rejected for Excessive Special Cases,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1274,Candidate Models Must Be Rejected for Unnecessary Semantic Richness,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1275,Candidate Models Must Be Rejected for Foundational Under-Specification,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1276,Candidate Models Must Be Rejected for Survey Duplication,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,MEDIUM,Merged,DOWN-01,#695,P2-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive. Exception clause struck; FSF deficiency is never patched by Ground.
#1277,Candidate Models Must Be Rejected for Survey Mutation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1278,Candidate Models Must Preserve Survey Orthogonality,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,HIGH,Merged,DOWN-01,#12,P4-D15,TRUE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1279,Candidate Models Must Preserve Ground Orthogonality to Interpretation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1280,Candidate Models Must Preserve Ground Orthogonality to Cadastre,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,HIGH,Merged,CORE-05a,#6,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1281,Candidate Models Must Preserve Ground Orthogonality to Rights,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1282,Candidate Models Must Preserve Ground Orthogonality to Runtime,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1283,Candidate Models Must Preserve Ground Orthogonality to Experience,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1284,Candidate Models Must Preserve Ground Orthogonality to Economics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1285,Candidate Models Must Preserve Ground Orthogonality to Governance Operations,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1286,Candidate Models Must Preserve Ground Orthogonality to Provenance Systems,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#130,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1287,Candidate Models Must Preserve Ground Orthogonality to Security Systems,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1288,Candidate Models Must Preserve Ground Orthogonality to Interoperability Standards,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1289,Candidate Models Must Preserve Ground Orthogonality to Documentation Layout,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1290,Candidate Models Must Preserve Ground Orthogonality to Creator History,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1291,Candidate Models Must Support Canonical Compression,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,HIGH,Merged,BOUND-01,#58,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1292,Candidate Models Must Support Canonical Expansion,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1293,Canonical Compression and Expansion Must Be Reversible in Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#48,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1294,Candidate Models Must Support Semantic Round-Trip,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1295,Candidate Models Must Support Canonical Comparison,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,HIGH,Merged,DEF-05,#65,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1296,Canonical Comparison Must Not Require Rendering,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,HIGH,Merged,DEF-05,#65,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#1297,Candidate Models Must Support Canonical Difference Analysis,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Canonical Equivalence,MEDIUM,Conformance,DEF-05,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#1298,Difference Analysis Must Distinguish Meaning From Encoding,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,HIGH,Merged,DEF-05,#216,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
